what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399529846065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399529995275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399529997124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530006858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530009443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399530019820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399530028732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530030708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399530045559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530088867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530114768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530116886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530127486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530127838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530127940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530130180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530133099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399530141488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530169451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530196048
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530250113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399530298534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530301110
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530305886
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530308783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530327274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530329841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530387841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530389014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399530393007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530398409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530400756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530402357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530404919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530405562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530425731
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530431159
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530433552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530448303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530452121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530457239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530478927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1399530494893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399530499983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530544112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530552116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530621359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530639369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530772370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399530778875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399530798871
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530845572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399530852083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399530959598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399531065325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399531096444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399531174116
